Mission Log
==================================================
Step: 1 | Drone: drone_1 | Coord: (9, 9) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (8, 9)
Step: 1 | Drone: drone_2 | Coord: (9, 9) | Status: SEARCHING | Sector: [[0, 7], [0, 13], [2, 7], [2, 13], [5, 7], [5, 13], [7, 7], [7, 13], [13, 7], [13, 13], [15, 7], [15, 13], [17, 7], [17, 13], [19, 7], [19, 13]] | Target: (8, 9)
Step: 1 | Drone: drone_3 | Coord: (9, 9) | Status: SEARCHING | Sector: [[0, 15], [0, 17], [0, 19], [2, 15], [2, 17], [2, 19], [5, 15], [5, 17], [5, 19], [7, 15], [7, 17], [7, 19], [13, 15], [13, 17], [13, 19], [15, 15], [15, 17], [15, 19], [17, 15], [17, 17], [17, 19], [19, 15], [19, 17], [19, 19]] | Target: (8, 9)
Step: 2 | Drone: drone_1 | Coord: (8, 9) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (8, 8)
Step: 2 | Drone: drone_3 | Coord: (8, 9) | Status: SEARCHING | Sector: [[0, 15], [0, 17], [0, 19], [2, 15], [2, 17], [2, 19], [5, 15], [5, 17], [5, 19], [7, 15], [7, 17], [7, 19], [13, 15], [13, 17], [13, 19], [15, 15], [15, 17], [15, 19], [17, 15], [17, 17], [17, 19], [19, 15], [19, 17], [19, 19]] | Target: (8, 10)
Step: 2 | Drone: drone_2 | Coord: (8, 9) | Status: SEARCHING | Sector: [[0, 7], [0, 13], [2, 7], [2, 13], [5, 7], [5, 13], [7, 7], [7, 13], [13, 7], [13, 13], [15, 7], [15, 13], [17, 7], [17, 13], [19, 7], [19, 13]] | Target: (8, 8)
Step: 3 | Drone: drone_3 | Coord: (8, 10) | Status: SEARCHING | Sector: [[0, 15], [0, 17], [0, 19], [2, 15], [2, 17], [2, 19], [5, 15], [5, 17], [5, 19], [7, 15], [7, 17], [7, 19], [13, 15], [13, 17], [13, 19], [15, 15], [15, 17], [15, 19], [17, 15], [17, 17], [17, 19], [19, 15], [19, 17], [19, 19]] | Target: (7, 10)
Step: 3 | Drone: drone_1 | Coord: (8, 8) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (7, 8)
Step: 3 | Drone: drone_2 | Coord: (8, 8) | Status: SEARCHING | Sector: [[0, 7], [0, 13], [2, 7], [2, 13], [5, 7], [5, 13], [7, 7], [7, 13], [13, 7], [13, 13], [15, 7], [15, 13], [17, 7], [17, 13], [19, 7], [19, 13]] | Target: (7, 8)
Step: 4 | Drone: drone_3 | Coord: (7, 10) | Status: SEARCHING | Sector: [[0, 15], [0, 17], [0, 19], [2, 15], [2, 17], [2, 19], [5, 15], [5, 17], [5, 19], [7, 15], [7, 17], [7, 19], [13, 15], [13, 17], [13, 19], [15, 15], [15, 17], [15, 19], [17, 15], [17, 17], [17, 19], [19, 15], [19, 17], [19, 19]] | Target: (7, 11)
Step: 4 | Drone: drone_1 | Coord: (7, 8) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (7, 7)
Step: 4 | Drone: drone_2 | Coord: (7, 8) | Status: SEARCHING | Sector: [[0, 7], [0, 13], [2, 7], [2, 13], [5, 7], [5, 13], [7, 7], [7, 13], [13, 7], [13, 13], [15, 7], [15, 13], [17, 7], [17, 13], [19, 7], [19, 13]] | Target: (6, 8)
Step: 5 | Drone: drone_1 | Coord: (7, 7) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (7, 7)
Step: 5 | Drone: drone_3 | Coord: (7, 11) | Status: SEARCHING | Sector: [[0, 15], [0, 17], [0, 19], [2, 15], [2, 17], [2, 19], [5, 15], [5, 17], [5, 19], [7, 15], [7, 17], [7, 19], [13, 15], [13, 17], [13, 19], [15, 15], [15, 17], [15, 19], [17, 15], [17, 17], [17, 19], [19, 15], [19, 17], [19, 19]] | Target: (7, 12)
Step: 5 | Drone: drone_2 | Coord: (6, 8) | Status: SEARCHING | Sector: [[0, 7], [0, 13], [2, 7], [2, 13], [5, 7], [5, 13], [7, 7], [7, 13], [13, 7], [13, 13], [15, 7], [15, 13], [17, 7], [17, 13], [19, 7], [19, 13]] | Target: (5, 8)
